name,price,currency,description,ingredients,instruction_for_use,storage_instructions,country
Coronita  Extra Beer 4.5% Bottle (207ml),0,VND,"Corona's superior taste profile is due to the fact that our brewers take great care to use only the best ingredients available, made with the finest quality blend of filtered water, malted barley, hops, and yeast.
The unmistakable colour, the one-of-a-kind taste, the unparalleled flavor of relaxation makes it 'la cerveza mas fina', made for gathering with friends.",,,,Corona
Monster Energy Sleek Can (355ml),26000,VND,Monster Energy Sleek Can (355ml),,,,
Tipco Juice Coconut (1L),0,VND,"- Tipco Coconut Water (1 Liter) with natural ingredients is produced according to modern technology lines under strict inspection process, so it preserves all natural nutrients from fruits and brings fresh taste. new.
- The cool sweetness and aroma of coconut bring you a feeling of lightness and refreshment when enjoying.
- Is a refreshing drink that helps replenish vitamins and minerals good for the body, rich in vitamins and antioxidants, will help promote health and help rejuvenate your skin. Using the product is a quick way to rehydrate the body when exercising or playing sports.
-In addition, the composition of the product does not contain harmful chemicals, ensuring safety for consumers' health.",,,,
Tipco Juice Orange (1L),0,VND,"- Tipco Orange Juice (100%) 1 liter is a product with safe ingredients, discreet packaging, delicious taste and rich in nutrition.
The product has carefully selected ingredients, does not contain harmful chemicals, and is safe for users. Products are manufactured on modern technological processes, are strictly censored, quality assurance and this is also a popular product in the market.
- Juice has a delicious taste of carefully selected natural ingredients, which will bring you great entertainment and enjoyment with friends or relatives.
- The product helps the body replenish water, replenish energy, many beneficial vitamins, especially vitamin C, help dispel thirst and fatigue. Juice is suitable as a daily nutritious drink, giving you a healthy body and vibrant skin.",,,,
Tipco Juice Aloe Vera And White grape (1L),66000,VND,"- Tipco 1 Liter aloe vera and white grape juice are imported directly from Thailand with natural ingredients, rich in nutrients, completely free of preservatives, ensuring safety for consumers' health.
- Juice contains vitamins A, C and E that act as antioxidants - substances that help the body fight free radicals to avoid premature skin aging and cancer, giving you a smooth skin. membranous and full of life.
In addition, aloe vera and grapes both contain vitamin B1 and folic acid (folate) and essential nutrients for the body such as calcium, potassium, magnesium, chromium, sodium, copper, zinc and selenium to help enzyme cells. stay healthy and help your metabolism work better. The fiber in the juice has the effect of increasing waste in the digestive system, stimulating excretion, and supporting digestion. In addition, calcium helps form strong bones and teeth.",,,,Thailand
Tipco Juice Vegetable and Fruit Juice (1L),66000,VND,"- Tipco Mixed Fruit and Vegetable Juice (1 Liter) with main ingredients including carrot, orange, tomato, celery, passion fruit, pineapple juice.
- The drink helps supplement Vitamins A, C, minerals, rich in fiber to help enhance vision, support the heart and metabolism of substances in the body. For office workers, fruit juice will be a magical drink to relieve stress, cool the body and keep fit.
- In addition, the bottles of pure, delicious and healthy fruit and vegetable juice are also suitable for taking care of the health of the loved ones in your family.
- Supplement vitamins and fiber for the body.",,,,
Tipco Apple Mix Juice (1L),50000,VND,"- Mixed Apple and Fruit Juice (40%) Tipco 1 Liter is a product from Thailand. The juice is made from safe ingredients, has a delicious taste, rich in nutrition and is canned. beautiful, discreet.
- No preservatives are used due to the packaging with aseptic system
- Contains a lot of vitamins A, C and many other nutrients
- Helps replenish water, replenish energy quickly, help dispel the feeling of fatigue and sluggishness immediately.",,,,Thailand
Tipco Juice Kiwi Mix Juice (1L),51000,VND,"- Tipco 1 liter kiwi and mixed fruit juice has a carefully selected source of ingredients with ingredients including Kiwi juice concentrate (15%), grape juice concentrate (14%), water Concentrated apple juice (11%). The product is manufactured on a modern technological process, does not contain harmful chemicals, and is safe for users.
- Kiwi juice helps the body to replenish water, replenish energy, many beneficial vitamins, help dispel thirst and feelings of fatigue. Juice is suitable as a daily nutritious drink, giving you a healthy body and vibrant skin.
The product contains the antioxidant E300, which helps to neutralize free radicals - natural substances that attack cells and DNA, preventing or slowing some forms of cell damage.
- Kiwi juice is rich in vitamin E, so it has the ability to reduce, erase wrinkles and reduce the harmful effects of ultraviolet rays, which cause skin cancer.",,,,
Tipco Juice Berry Mix Juice (1L),51000,VND,"- Tipco Berry and Fruit Juice (40%) 1 Liter has carefully selected ingredients, does not contain harmful chemicals, safe for users.
- Products are manufactured on modern technological process, strictly censored, quality assurance and this is also a popular product in the market.
- Juice has a delicious taste of carefully selected natural ingredients, which will bring you great entertainment and enjoyment with friends or relatives.
- The product helps the body replenish water, replenish energy, many beneficial vitamins, especially vitamin C, help dispel thirst and fatigue.
- Juice is suitable as a daily nutritious drink, giving you a healthy body and vibrant skin.",,,,
St.Sebastiaan G.Cru Beer 7.6% Bottle (500ml),0,VND,"The beer has amber color and a layer of smooth cream foam that is not too thick but stays for a long time on the rim of the cup, making the drinker feel a delicate and warm taste, to the harmonious combination of the bitterness of the plum blossom, rich flavor and mellow feel",,,,
Schofferhofer Hefeweizen Wheat Beer 5% (500ml),0,VND,"Schofferhofer German Wheat Beer Hefeweizen is brewed in Bavarian tradition using wheat malt. The live yeast gives bottle ""conditioning"" guaranteeing a refreshing fruity flavour. The yeast sediment also leads to the ""cloudy"" nature of the beer.",,,,
Schofferhofer Beer & Grapefruit 2.5% (330ml),0,VND,A 50/50 blend of Schöfferhofer Hefeweizen beer and natural carbonated grapefruit flavor for a zesty and fizzy taste experience.,,,,
Radeberger Pilsner Draft Beer 4.8% (330ml),0,VND,Full-bodied Pilsner,,,,
Te Te White Ale Craft Beer (330ml),80000,VND,"Te Te White Ale is a wheat beer; light and refreshing brewed with wheat malt, orange peel and a touch of coriander",,,,
Te Te Electric IPA Craft Beer (330ml),80000,VND,Te Te Electric IPA is a medium body beer with a golden orange haze. The fruity aroma is brought to life by hops and pinch of lemon zest,,,,
Condition Extract Hovenia dulcis (75ml),55000,VND,"Condition was formerly a famous product of CJ Group (Korea). Now, Condition has changed its appearance, but the quality and popularity of this product in Korea and Asian countries have not decreased. Condition is Korea's number 1  favorite  anti hangover drink product. Helps detoxify the liver, limiting the harmful effects of alcohol on the liver.",,,,Korea
Hongsamjin Gold Red ginseng Water (100ml),30000,VND,"Made from Red Korean Gingsen 6 year olds, HONGSAM JIN GOLD Support to improve health, reduce fatigue.",,,,
Hutgaesoo Dry Raisin Water (500ml),26000,VND,"Oriental raisin juice HUTGAESOO 500ml SUGAR FREE - CHOLESTEROL - NO FAT - NO CALORIS. Combined with Tapioca and Licorice extracts, HUTGAESOO Oriental Raisin Water brings a new concept with a Herbal drink that is both cooling and anti-oxidant. Refreshment, body heat.",,,,
Bia St.Sebastiaan Dark 6.9% chai (500ml),0,VND,"Origin : belgium
Alcohol content : 6.9%
Brand : abbey ale
Color: black with red light
500ml special porcelain bottel
Expiry date : 3 years
Carton of 6 bottel",,,,Belgium
Bia St. Paul Triple 7.6% chai (500ml),0,VND,"Cover type : abbey ale
Color : yellow
Alcohol content : 7,6%
Hops: belgium meeting
Floating fermentation
Volume : 500ml
Expiry date; 3 years
Origin : belgium
Specification 6 bottles carton",,,,Belgium
San Miguel Negra Beer Bottle 4.19%(330ml),32000,VND,"A rich, dark beer with a balance between mild bitterness and the characteristic sweetness of roasted barley flowers. Intense caramel aroma combined with the fatty taste of beer foam",,,,San Miguel
Lipton Iced Tea Peach Can (6x330ml),0,VND,"Refreshing drink with peach flavored tea extracts, with sugars and sweetener.",,,,
Lipton Ice Tea Peach Zero Sugar (1.5L),0,VND,Discover the light side of the decree! Lipton Refreshing Lipton Ice Tea in sugar-free version - a fantastic taste of iced tea with a stimulating peach juice without the sugar!,,,,
Orangina Orange Juice Can (6x330ml),297000,VND,Made with real orange pulp,,,,
7 Bridges Imperial IPA 9.0% Bottle (330ml),0,VND,"Full of intense and fruity hop aromas, this bright ale is everything a true hophead loves. Masterfully executed without compromise, extra strong, perfectly balanced, and made with all natural ingredients. 
Type: Wheat beer  9,0% ABV - 50 IBU",,,,
7 Bridges Dragon 3 Coil IPA 4.8% Btl (330ml),0,VND,"Inspired by Danang's fire breathing Dragon Bridge and its 3 golden coils, this session style IPA is bursting with three fragrant hops and three rich malts. Smooth enough to enjoy three in a row.  Type: Session IPA , 4.8% ABV -32 IBU",,,,
