name,price,currency,description,ingredients,instruction_for_use,storage_instructions,country,quantity_value,quantity_unit
DESPERADOS Beer PK 5.9% from France (330ml),0,VND,"Desperados PK 5.9% (330ml) is a distinctive beer that combines traditional beer flavors with the famous Tequila taste, creating a bold and captivating drink. With an alcohol content of 5.9%, Desperados delivers a refreshing, light taste, complemented by the strong, spicy kick of Tequila. The fresh citrus flavor, combined with the heat of Tequila, creates a perfect blend that is easy to drink and addictive.

First introduced in France in 1995, Desperados quickly became a favorite choice for parties and gatherings, offering a fresh and unique beer experience. Today, Desperados is available in over 70 countries and is one of the most consumed drinks worldwide.

Origin: France
Responsible Organization: SOGEDIAL EXPLOITATION
Address: GEXPA, 419 Rue des Chantiers, 76600 Le Havre, France","Water, malted barley, glucose-syrup, sugar, hop extract, citric acid, flavour (75% Tequila)","Enjoy chilled, straight from the fridge.",Store in a cool & dry place,France,330,ml
Val de Rance Ginger/Lemon Cider 4.5% Bottle (330ml),0,VND,"Slightly cloudy with amber color in the glass. Spicy and fresh cider with acidulated lemon notes. Generous and gentle in mouth with a fizzy attack, low astringency. Naturally sweet with sugars contains in the fruits. Well balanced mix between ginger, lemon & apple. This cider is perfect for a refreshing break and can accompany summer fruits.","French cider, Lemon juice from concentrate, natural ginger flavor, green lemon flavor, antioxidant: potassium bi-disulfite. Gluten free, contains natural sugars from fruits.","Delicious paired with a sandwich, a salad or a pastry, Val de France beverages are a great alternative for consumers who like non-alcoholic drinks. Enjoy them year round!","Store in cool and dry place, away from sunlight.",,330,ml
CocaCola Zero Bottle (1.5L),20000,VND,"Coca Cola Zero makes the body feel lighter, eats better, no sugar, no calories, suitable for those who love soft drinks but still want to keep healthy eating habits.","Saturated water C02, food coloring (150d), acidity regulator (338, 331(iii)), synthetic sweetener (950, 955), preservative (211), natural cola flavor and caffeine .",Can be used instantly.,"Store at room temperature, in a cool, dry place.",,1.5,L
Fanta Bottle (1.5L),0,VND,"Fanta soft drink helps to quench thirst after outdoor activities, relieve stress and fatigue when studying and working. Fanta soft drink with sassafras flavor 1.5 liter bottle stimulates the taste buds, providing energy for the body.","Saturated water CO2 , HFCS sugar, cane sugar, acidity regulator (330), emulsifier (1450,444), natural and natural orange flavor, preservative (211) and food color (110) ).",Can be used instantly.,"Store at room temperature, in a cool, dry place.",,1.5,L
Schweppes Soda Dry Ginger Ale Can (320ml),11000,VND,"Schweppes uses flavors extracted from nature, a separate formula combines mildly spicy ginger, carbonated soft drinks with a strong taste to bring a feeling of refreshment. Schweppes Dry Ginger Ale Soda Drink 320ml can be used immediately or used to prepare attractive drinks","Saturated water CO2, acidity regulator (500(ii))",Can be used instantly.,"Store at room temperature, in a cool, dry place.",,320,ml
Minute Maid Teppy Orange Bottle (327ml),0,VND,"Teppy orange juice 327ml is extracted from succulent oranges along with naturally attractive fresh orange cloves. And produced according to modern technology, no harmful substances do not affect the health of consumers.","Water, HFCS, orange juice and orange cloves (12.2%), synthetic orange flavor, acidity regulator (330, 331(iii)), Calcium Lactate (400 ppm), vitamin E (11 ppm) and color food (102, 110).",Can be used instantly.,"Store at room temperature, in a cool, dry place.",HFCS,327,ml
Dasani Bottle (350ml),4000,VND,"Dasani Purified Water is sterilized with optimal technology, ensuring a clean source of water and good for the health of consumers.
Dasani bottled water is produced from groundwater, through reverse osmosis system and sterilization by ozone, ensuring purity in every drop of water. The product has a natural cool sweet taste, giving instant refreshing feeling",Pure water,Can be used instantly.,"Store at room temperature, in a cool, dry place.",,350,ml
Aquarius Water bottle (390ml),8000,VND,Aquarius Isotonic Water bottle (390ml),"Saturated water CO2, cane sugar, salt, natural fruit flavor",Can be used instantly.,"Store at room temperature, in a cool, dry place.",,390,ml
Dasani Mineral Water Bottle (510ml),6000,VND,"Dasani Purified Water is sterilized with optimal technology, ensuring a clean source of water and good for the health of consumers.
Dasani bottled water is produced from groundwater, through reverse osmosis system and sterilization by ozone, ensuring purity in every drop of water. The product has a natural cool sweet taste, giving instant refreshing feeling",Pure water,Can be used instantly.,"Store at room temperature, in a cool, dry place.",,510,ml
East West East West Pale Ale Beer Bottle (330ml),51000,VND,"With inspirations from both sides of the world, our award-winning flagship East West Pale Ale provides a perfect balance of malts with hops. This delightfully crisp and handcrafted ale is the toast of Saigon.","Water, yeast, hops, malt",Best served chilled,"Keep in a cool, dry place away from exposure to direct sunlight",West,330,ml
Val de Rance Pear Cider 4.5% Bottle (330ml),0,VND,Limpid with a clear orange color. Nose of freshly pressed pears. Round and sweet in mouth with medium acidity. Naturally acidulated with sugars contains in the fruits. This cider can accompany sweet desserts and is particularly excellent with chocolate.,"French cider, Pear juice from concentrate, natural flavor, antioxidant: potassium bi-disulfite. Gluten free, contains natural sugars from fruits.","Delicious paired with a sandwich, a salad or a pastry, Val de France beverages are a great alternative for consumers who like non-alcoholic drinks. Enjoy them year round!","Store in cool and dry place, away from sunlight.",,330,ml
East West Far East IPA Beer Bottle (330ml),51000,VND,"This full-bodied India Pale Ale is loaded with malt, hops, and yeast from all over the world. Our award-winning Far East IPA provides a beautiful inter-pacific aroma that is enjoyable all year round.","Water, yeast, hops, malt",Best served chilled,"Keep in a cool, dry place away from exposure to direct sunlight",India,330,ml
East West Modern Belgian Dark Beer Bottle 8.1% (500ml),90000,VND,"Our award-winning Modern Belgian Dark takes on a traditional approach with a dose of local ingredients. Complex with rich malts that delivers strong aromas of caramel and baked bread, with a hint of spiciness. We switched out the traditional use of Belgian candy for local Vietnamese palm sugar to give a vanilla and toffee depth.","Water, yeast, hops, malt",Best served chilled,"Keep in a cool, dry place away from exposure to direct sunlight",West,500,ml
East West Independence Stout Beer Bottle 12% (500ml),100000,VND,"Our award-winning Independence Stout is an intense dark ale that encompasses a range of rich and complex flavor profiles. The malts, fruit esters, hops, and alcohol are harmoniously in balance. Not for the faint of heart due to its aggressive nature and high alcohol content, therefore this beer is to be savored and respected.","Water, yeast, hops, malt",Best served chilled,"Keep in a cool, dry place away from exposure to direct sunlight",West,500,ml
East West Summer Hefe Weizen Beer Bottle (330ml),0,VND,"Our award-winning Summer Hefeweizen delivers a bold, refreshing, clean flavor and expressive aroma that is perfect for Vietnam’s warm climate","Water, yeast, hops, malt",Best served chilled,"Keep in a cool, dry place away from exposure to direct sunlight",West,330,ml
